Freq.	V(filtroout)
9.54992586021428e+03	-1.16096112122459e-01,7.62739700316475e-01
9.77237220955802e+03	-6.86072272034980e-03,7.15906885831757e-01
9.99999999999991e+03	8.50759928290634e-02,6.53058770684802e-01
1.02329299228075e+04	1.57552654611182e-01,5.79964219519343e-01
1.04712854805089e+04	2.10428165903224e-01,5.02253642695964e-01
1.07151930523760e+04	2.45161973115123e-01,4.24743161703907e-01
1.09647819614318e+04	2.64233404671557e-01,3.51080313513491e-01
1.12201845430195e+04	2.70579848978471e-01,2.83684491171972e-01
1.14815362149687e+04	2.67160213471512e-01,2.23886460034884e-01
1.17489755493952e+04	2.56674799877621e-01,1.72162351615494e-01
1.20226443461740e+04	2.41423613410626e-01,1.28383027747509e-01
1.23026877081237e+04	2.23265031187754e-01,9.20335468974419e-02
1.25892541179416e+04	2.03636198220066e-01,6.23849140191498e-02
1.28824955169312e+04	1.83604832579888e-01,3.86172683845297e-02
1.31825673855640e+04	1.63932172722083e-01,1.99017537987296e-02
1.34896288259164e+04	1.45135240985997e-01,5.45070547252552e-03
1.38038426460287e+04	1.27542532966419e-01,-5.45476308581704e-03
1.41253754462274e+04	1.11340931618192e-01,-1.34523829277780e-02
1.44543977074591e+04	9.66136950103695e-02,-1.90960433161207e-02
1.47910838816819e+04	8.33703597288864e-02,-2.28589077100071e-02
1.51356124843619e+04	7.15697756555785e-02,-2.51397120757655e-02
1.54881661891247e+04	6.11375314271319e-02,-2.62705477289330e-02
1.58489319246110e+04	5.19789180706798e-02,-2.65250713821006e-02
1.62181009735891e+04	4.39884089105765e-02,-2.61265149255059e-02
1.65958690743755e+04	3.70564571657299e-02,-2.52551479159250e-02
1.69824365246173e+04	3.10742516991865e-02,-2.40550239288445e-02
1.73780082874936e+04	2.59369343893773e-02,-2.26399519090413e-02
1.77827941003891e+04	2.15456704592655e-02,-2.10986990858230e-02
1.81970085860997e+04	1.78088734664951e-02,-1.94994688686528e-02
1.86208713666285e+04	1.46428160589306e-02,-1.78937159725600e-02
1.90546071796323e+04	1.19718025031500e-02,-1.63193687264628e-02
1.94984459975803e+04	9.72803624167166e-03,-1.48035295244735e-02
1.99526231496886e+04	7.85128268526444e-03,-1.33647215143395e-02
2.04173794466951e+04	6.28840196664202e-03,-1.20147446586146e-02
2.08929613085402e+04	4.99280678541052e-03,-1.07601983618075e-02
2.13796208950221e+04	3.92388544449865e-03,-9.60372161025883e-03
2.18776162394953e+04	3.04641869262812e-03,-8.54499542727524e-03
2.23872113856832e+04	2.33001025257849e-03,-7.58154663722718e-03
2.29086765276775e+04	1.74854431562890e-03,-6.70938658251031e-03
2.34422881531990e+04	1.27967834001061e-03,-5.92351360129064e-03
2.39883291901947e+04	9.04375832268704e-04,-5.21830376383534e-03
2.45470891568501e+04	6.06481123323647e-04,-4.58781056690844e-03
2.51188643150956e+04	3.72336247156025e-04,-4.02599096980045e-03
2.57039578276884e+04	1.90438710128929e-04,-3.52687228432449e-03
2.63026799189536e+04	5.11380624053581e-05,-3.08467196298888e-03
2.69153480392689e+04	-5.36313604237572e-05,-2.69388022209638e-03
2.75422870333814e+04	-1.30584453551186e-04,-2.34931364826202e-03
2.81838293126443e+04	-1.85289160988515e-04,-2.04614642847667e-03
2.88403150312658e+04	-2.22343126903547e-04,-1.77992457890343e-03
2.95120922666636e+04	-2.45526110576544e-04,-1.54656749280512e-03
3.01995172040199e+04	-2.57930935747417e-04,-1.34236025340784e-03
3.09029543251356e+04	-2.62075549972894e-04,-1.16393943644471e-03
3.16227766016835e+04	-2.59998555734022e-04,-1.00827453609218e-03
3.23593656929625e+04	-2.53340354711643e-04,-8.72646666469366e-04
3.31131121482588e+04	-2.43411828595752e-04,-7.54625801007995e-04
3.38844156139199e+04	-2.31252269986477e-04,-6.52047498481777e-04
3.46736850452528e+04	-2.17678079267186e-04,-5.62989814192939e-04
3.54813389233572e+04	-2.03323560105561e-04,-4.85750896599493e-04
3.63078054770098e+04	-1.88674978630597e-04,-4.18827614106996e-04
