Freq.	V(ampout)
2.75422870333814e+00	3.71611607074738e+00,7.09520040612309e+00
2.81838293126442e+00	3.82713460922241e+00,7.21704068737867e+00
2.88403150312657e+00	3.94197237491608e+00,7.33917850716809e+00
2.95120922666635e+00	4.06070232391357e+00,7.46149633746793e+00
3.01995172040198e+00	4.18339288234711e+00,7.58387028404581e+00
3.09029543251355e+00	4.31010937690735e+00,7.70617009161025e+00
3.16227766016834e+00	4.44091188907623e+00,7.82825917861328e+00
3.23593656929624e+00	4.57585597038269e+00,7.94999470718074e+00
3.31131121482587e+00	4.71499145030975e+00,8.07122769185668e+00
3.38844156139199e+00	4.85836243629456e+00,8.19180314835441e+00
3.46736850452528e+00	5.00600636005402e+00,8.31156028372366e+00
3.54813389233571e+00	5.15795290470123e+00,8.43033273281272e+00
3.63078054770097e+00	5.31422543525696e+00,8.54794884102553e+00
3.71535229097168e+00	5.47483813762665e+00,8.66423199478322e+00
3.80189396320557e+00	5.63979744911194e+00,8.77900100370153e+00
3.89045144994276e+00	5.80909967422485e+00,8.89207053025585e+00
3.98107170553492e+00	5.98273277282715e+00,9.00325157539054e+00
4.07380277804108e+00	6.16067278385162e+00,9.11235201096527e+00
4.16869383470330e+00	6.34288704395294e+00,9.21917716413418e+00
4.26579518801587e+00	6.52933132648468e+00,9.32353045387459e+00
4.36515832240161e+00	6.71994984149933e+00,9.42521407110024e+00
4.46683592150958e+00	6.91467547416687e+00,9.52402970734632e+00
4.57088189614869e+00	7.11342954635620e+00,9.61977932335265e+00
4.67735141287192e+00	7.31612098217010e+00,9.71226595830417e+00
4.78630092322632e+00	7.52264690399170e+00,9.80129456899497e+00
4.89778819368440e+00	7.73289191722870e+00,9.88667290336132e+00
5.01187233627266e+00	7.94672846794128e+00,9.96821238919325e+00
5.12861383991358e+00	8.16401720046997e+00,1.00457290469153e+01
5.24807460249766e+00	8.38460612297058e+00,1.01190444049692e+01
5.37031796370246e+00	8.60833239555359e+00,1.01879864201841e+01
5.49540873857618e+00	8.83502101898193e+00,1.02523903891473e+01
5.62341325190342e+00	9.06448590755463e+00,1.03120998480839e+01
5.75439937337150e+00	9.29653155803680e+00,1.03669674463888e+01
5.88843655355581e+00	9.53095126152039e+00,1.04168557888275e+01
6.02559586074350e+00	9.76752936840057e+00,1.04616382368610e+01
6.16595001861474e+00	1.00060420036316e+01,1.05011996627016e+01
6.30957344480185e+00	1.02462568283081e+01,1.05354371455802e+01
6.45654229034647e+00	1.04879349470139e+01,1.05642605993848e+01
6.60693448007587e+00	1.07308315038681e+01,1.05875933344884e+01
6.76082975391973e+00	1.09746966362000e+01,1.06053725389130e+01
6.91830970918928e+00	1.12192757129669e+01,1.06175496718915e+01
7.07945784384129e+00	1.14643120765686e+01,1.06240907754638e+01
7.24435960074981e+00	1.17095463275909e+01,1.06249766902309e+01
7.41310241300908e+00	1.19547188282013e+01,1.06202031733154e+01
7.58577575029174e+00	1.21995699405670e+01,1.06097809282847e+01
7.76247116628682e+00	1.24438415765762e+01,1.05937355316428e+01
7.94328234724271e+00	1.26872771978378e+01,1.05721072641306e+01
8.12830516164089e+00	1.29296251535416e+01,1.05449508533385e+01
8.31763771102660e+00	1.31706377267838e+01,1.05123351204768e+01
8.51138038202365e+00	1.34100719690323e+01,1.04743425430132e+01
8.70963589956069e+00	1.36476930379868e+01,1.04310687353448e+01
8.91250938133734e+00	1.38832716941833e+01,1.03826218563965e+01
9.12010839355898e+00	1.41165884733200e+01,1.03291219441435e+01
9.33254300796979e+00	1.43474315404892e+01,1.02707001924566e+01
9.54992586021423e+00	1.45755996704102e+01,1.02074981748205e+01
9.77237220955798e+00	1.48009015321732e+01,1.01396670205656e+01
9.99999999999987e+00	1.50231564044952e+01,1.00673665525019e+01
1.02329299228074e+01	1.52421948909760e+01,9.99076440937488e+00
1.04712854805089e+01	1.54578590393066e+01,9.91003512950678e+00
1.07151930523759e+01	1.56700034141541e+01,9.82535923790739e+00
1.09647819614317e+01	1.58784940242767e+01,9.73692232753049e+00
1.12201845430195e+01	1.60832087993622e+01,9.64491414139736e+00
1.14815362149687e+01	1.62840386629105e+01,9.54952767185062e+00
1.17489755493951e+01	1.64808862209320e+01,9.45095827737195e+00
1.20226443461740e+01	1.66736660003662e+01,9.34940282498679e+00
1.23026877081236e+01	1.68623051643372e+01,9.24505886345996e+00
1.25892541179415e+01	1.70467418432236e+01,9.13812383183596e+00
1.28824955169312e+01	1.72269263267517e+01,9.02879431178070e+00
1.31825673855639e+01	1.74028191566467e+01,8.91726531721926e+00
1.34896288259164e+01	1.75743920803070e+01,8.80372963731594e+00
1.38038426460287e+01	1.77416270971298e+01,8.68837722455670e+00
1.41253754462274e+01	1.79045159816742e+01,8.57139463096960e+00
1.44543977074591e+01	1.80630598068237e+01,8.45296450072331e+00
1.47910838816819e+01	1.82172689437866e+01,8.33326510999625e+00
1.51356124843619e+01	1.83671618700027e+01,8.21246995932069e+00
1.54881661891246e+01	1.85127652883530e+01,8.09074741363113e+00
1.58489319246109e+01	1.86541121006012e+01,7.96826039999191e+00
1.62181009735891e+01	1.87912436723709e+01,7.84516614045226e+00
